,link,first_name,last_name,nationality,year
179,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=2050,Giovanni di Salvatore,Filangieri,Italian, before 1450 - c. 1499
180,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=2050,Giovanni,Filangieri Candida,Italian, before 1450 - c. 1499
181,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,,Filarete,Italian, c. 1400 - 1469
182,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=7503,George,File,American, active c. 1935
183,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=989,Alessandro,Filipepi,Italian, 1446 - 1510
184,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=1489,Fra,Filippo,Italian, c. 1406 - 1469
185,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=5933,,Filippo d'Angeli,Italian, 1585/1591 - 1629
186,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=1713,,Filippo di Memmo,Italian, active 1317/1347
187,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=5933,,Filippo Napoletano,Italian, 1585/1591 - 1629
188,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=6432,Francis E.,Fillebrown,American, born probably 1854
189,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=6213,John,Fillian,English, active 1658/1680
190,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=4085,Pierre,Filloeul,French, active 1730/1750
191,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=6461,John,Filmer,American (?), active 1862/1881
192,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=5735,Tully,Filmus,American, born 1903
193,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=4086,Giuseppe,Filosi,Italian, active first half 18th century
194,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=22404,Heneage 4th Earl of Aylesford,Finch,British, 1751 - 1812
195,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=6214,Edward,Finden,British, 1791 - 1857
196,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=1302,Perle,Fine,American, 1908 - 1988
